age,c_charge_degree,race,age_cat,score_text,sex,priors_count,days_b_screening_arrest,decile_score,two_year_recid,juv_fel_count,juv_misd_count,juv_other_count,c_days_from_compas,length_of_stay
28,F,African-American,25 - 45,Medium,Male,14,-1.0,7,1,0,0,0,1.0,21.0
32,M,African-American,25 - 45,Medium,Male,0,-1.0,5,0,0,0,0,1.0,14.0
32,M,Caucasian,25 - 45,Low,Female,1,-1.0,3,1,0,0,0,1.0,20.0
33,M,African-American,25 - 45,High,Male,5,0.0,8,1,0,0,0,1.0,139.0
29,F,African-American,25 - 45,High,Male,16,-1.0,10,0,0,1,0,1.0,408.0
34,M,Caucasian,25 - 45,Low,Male,1,-1.0,3,1,0,0,0,1.0,22.0
37,M,Other,25 - 45,Low,Female,0,-1.0,1,1,0,0,0,1.0,21.0
43,M,Caucasian,25 - 45,Low,Male,0,0.0,1,0,0,0,0,0.0,5.0
47,F,Caucasian,Greater than 45,Low,Male,2,-3.0,4,0,0,0,0,4.0,8.0
25,M,African-American,25 - 45,Medium,Male,3,0.0,6,1,0,0,0,0.0,49.0
23,F,African-American,Less than 25,Low,Female,1,-1.0,3,0,0,0,0,1.0,47.0
39,M,Caucasian,25 - 45,Low,Male,2,-1.0,2,0,0,0,0,1.0,14.0
35,F,African-American,25 - 45,High,Male,13,-1.0,8,1,0,0,0,1.0,121.0
33,F,Other,25 - 45,Low,Male,0,-1.0,1,0,0,0,0,1.0,30.0
21,F,Other,Less than 25,Low,Male,0,-1.0,3,1,0,0,0,1.0,27.0
43,F,African-American,25 - 45,High,Male,20,0.0,8,0,1,0,0,0.0,25.0
25,F,African-American,25 - 45,High,Male,3,-1.0,8,1,0,1,1,1.0,23.0
48,F,African-American,Greater than 45,High,Male,25,-1.0,10,1,1,0,0,1.0,152.0
22,M,African-American,Less than 25,Medium,Male,1,28.0,7,1,0,0,1,1.0,28.0
52,M,African-American,Greater than 45,High,Male,9,-1.0,8,1,1,0,0,1.0,934.0
26,F,Caucasian,25 - 45,Low,Male,5,-1.0,4,1,0,0,0,1.0,845.0
67,M,African-American,Greater than 45,Medium,Male,4,-1.0,7,1,0,0,0,1.0,668.0
34,M,African-American,25 - 45,Low,Male,4,-1.0,2,0,0,0,0,1.0,24.0
56,M,Caucasian,Greater than 45,Low,Male,4,-1.0,1,0,0,0,0,2.0,6.0
28,F,African-American,25 - 45,Low,Male,1,-1.0,4,1,0,0,0,2.0,125.0
29,M,African-American,25 - 45,Low,Male,2,-1.0,4,0,0,0,0,1.0,17.0
37,F,African-American,25 - 45,Medium,Male,6,-1.0,5,1,0,0,0,1.0,484.0
43,F,Other,25 - 45,Low,Male,3,-1.0,2,0,0,0,0,1.0,24.0
51,F,Caucasian,Greater than 45,Low,Male,0,-1.0,1,0,0,0,0,1.0,29.0
20,M,African-American,Less than 25,Medium,Male,1,-2.0,7,1,0,0,1,2.0,20.0
26,M,Caucasian,25 - 45,Medium,Male,4,0.0,7,1,0,0,0,0.0,7034.0
39,M,Caucasian,25 - 45,Low,Female,1,-1.0,2,1,0,0,0,1.0,240.0
21,F,African-American,Less than 25,High,Male,1,-1.0,8,0,0,0,1,1.0,51.0
21,F,African-American,Less than 25,High,Male,1,-1.0,9,1,0,1,1,1.0,66.0
24,F,Caucasian,Less than 25,Low,Male,3,-1.0,4,1,0,2,0,1.0,26.0
26,M,African-American,25 - 45,High,Male,4,-1.0,8,1,0,1,0,1.0,24.0
48,F,Caucasian,Greater than 45,Low,Male,1,0.0,2,0,0,0,0,0.0,20.0
24,F,African-American,Less than 25,Medium,Male,5,-1.0,5,1,0,1,0,1.0,44.0
26,F,Caucasian,25 - 45,Low,Male,0,0.0,4,0,0,0,0,0.0,-1.0
46,F,Caucasian,Greater than 45,Low,Male,0,-1.0,1,0,0,0,0,1.0,24.0
24,M,African-American,Less than 25,High,Male,7,-1.0,9,0,0,1,1,1.0,25.0
21,M,Caucasian,Less than 25,Medium,Female,0,-1.0,5,0,0,0,0,1.0,20.0
24,F,African-American,Less than 25,Low,Male,1,-1.0,3,1,0,0,0,1.0,35.0
36,M,African-American,25 - 45,High,Male,9,0.0,8,0,0,0,0,1.0,45.0
30,F,African-American,25 - 45,Low,Male,5,-1.0,4,1,0,0,0,1.0,25.0
22,F,Caucasian,Less than 25,Medium,Female,1,-23.0,6,0,0,0,0,23.0,47.0
25,F,African-American,25 - 45,High,Male,0,-1.0,9,1,0,0,0,1.0,239.0
31,M,African-American,25 - 45,High,Male,25,-1.0,8,1,0,3,0,1.0,2829.0
24,F,African-American,Less than 25,Low,Male,0,-1.0,4,0,0,0,0,1.0,51.0
39,F,African-American,25 - 45,High,Male,13,-1.0,8,1,0,0,0,1.0,47.0
46,F,Other,Greater than 45,Low,Male,0,-1.0,1,0,0,0,0,1.0,122.0
30,F,African-American,25 - 45,Low,Female,4,-5.0,3,0,0,0,0,5.0,16.0
40,F,Caucasian,25 - 45,Low,Male,0,0.0,2,0,0,0,0,0.0,534.0
52,F,African-American,Greater than 45,Low,Female,0,-1.0,1,0,0,0,0,1.0,58.0
23,F,African-American,Less than 25,High,Male,3,-1.0,9,0,1,0,1,1.0,807.0
26,M,African-American,25 - 45,Low,Female,1,-1.0,2,0,0,0,0,1.0,27.0
22,F,Caucasian,Less than 25,High,Male,1,-1.0,8,1,0,1,0,1.0,478.0
42,F,Caucasian,25 - 45,Low,Male,3,0.0,4,0,0,0,0,0.0,21.0
23,F,African-American,Less than 25,High,Male,6,-1.0,10,1,0,3,1,1.0,3263.0
33,F,Other,25 - 45,Low,Male,4,-1.0,3,1,0,0,0,1.0,43.0
28,F,African-American,25 - 45,Low,Male,1,-1.0,3,0,0,0,0,1.0,51.0
50,F,Caucasian,Greater than 45,Low,Male,1,-1.0,1,0,0,0,0,847.0,26.0
32,F,African-American,25 - 45,Medium,Male,1,-1.0,7,0,0,0,0,1.0,29.0
24,F,Hispanic,Less than 25,Medium,Male,3,-1.0,6,1,0,0,0,1.0,2350.0
51,F,African-American,Greater than 45,Low,Male,3,-1.0,2,0,0,0,0,1.0,29.0
19,M,Caucasian,Less than 25,Low,Male,1,-1.0,4,1,0,0,0,1.0,15.0
32,F,African-American,25 - 45,Medium,Male,4,0.0,5,0,0,0,0,0.0,2592.0
31,F,Caucasian,25 - 45,Low,Female,1,-22.0,3,1,0,0,0,23.0,6.0
29,F,African-American,25 - 45,Medium,Female,1,7.0,5,0,0,0,0,146.0,4310.0
43,M,Hispanic,25 - 45,Low,Male,0,-1.0,1,0,0,0,0,1.0,22.0
26,F,African-American,25 - 45,Medium,Male,9,-1.0,7,1,0,0,0,1.0,268.0
27,F,Caucasian,25 - 45,High,Male,0,-1.0,10,1,0,0,0,1.0,666.0
52,F,Caucasian,Greater than 45,Low,Male,1,-1.0,1,1,0,0,0,1.0,72.0
27,M,Hispanic,25 - 45,Low,Male,1,-1.0,1,0,0,0,0,1123.0,18.0
57,M,Hispanic,Greater than 45,Low,Female,1,-1.0,2,0,0,0,0,8.0,14.0
28,M,African-American,25 - 45,Medium,Male,3,-1.0,6,1,0,0,0,1.0,43.0
32,F,African-American,25 - 45,Low,Male,3,-1.0,1,1,0,0,0,1.0,66.0
27,M,African-American,25 - 45,Low,Male,5,0.0,3,1,0,0,0,12.0,6.0
45,M,Hispanic,Greater than 45,Low,Male,0,-1.0,1,1,0,0,0,1.0,79.0
42,M,Caucasian,25 - 45,Low,Female,0,0.0,1,0,0,0,0,0.0,5.0
33,F,African-American,25 - 45,Low,Male,0,-1.0,2,1,0,0,0,1.0,23.0
28,M,Caucasian,25 - 45,Low,Female,3,-1.0,4,0,0,0,1,1.0,1082.0
53,M,Caucasian,Greater than 45,Low,Female,0,-1.0,1,0,0,0,0,1.0,20.0
24,F,Caucasian,Less than 25,Low,Male,0,-1.0,2,0,0,0,0,1.0,24.0
28,F,Hispanic,25 - 45,Low,Male,1,-9.0,2,0,0,0,0,9.0,209.0
28,F,Hispanic,25 - 45,Medium,Male,1,-1.0,5,0,0,0,0,1.0,39.0
39,M,African-American,25 - 45,Medium,Male,6,-1.0,7,1,0,0,1,1.0,857.0
22,F,African-American,Less than 25,Medium,Male,1,0.0,7,1,0,0,0,1.0,-5.0
46,F,African-American,Greater than 45,Low,Male,2,0.0,2,1,0,0,0,0.0,223.0
25,M,African-American,25 - 45,Low,Male,0,0.0,2,0,0,0,0,0.0,29.0
52,F,Caucasian,Greater than 45,Medium,Male,1,-5.0,5,0,0,0,0,4696.0,94.0
28,M,African-American,25 - 45,Low,Male,4,-1.0,2,1,0,0,0,1.0,22.0
57,F,Caucasian,Greater than 45,Low,Female,1,-4.0,1,1,0,0,0,4.0,46.0
49,F,African-American,Greater than 45,Low,Male,3,-1.0,1,1,0,0,0,1.0,21.0
21,F,African-American,Less than 25,High,Male,2,-1.0,9,1,0,0,0,1.0,23.0
32,F,African-American,25 - 45,High,Male,19,-1.0,10,1,0,0,0,1.0,359.0
63,M,African-American,Greater than 45,High,Male,3,-1.0,9,0,0,0,0,2302.0,5283.0
29,F,Caucasian,25 - 45,Low,Male,2,0.0,3,0,0,0,0,1.0,47.0
46,M,African-American,Greater than 45,Low,Male,0,0.0,1,0,0,0,0,0.0,27.0
28,M,African-American,25 - 45,Medium,Male,10,-1.0,7,1,0,0,0,1.0,27.0
27,F,African-American,25 - 45,Low,Male,1,-3.0,2,0,0,0,0,3.0,74.0
69,M,Hispanic,Greater than 45,Low,Female,0,0.0,1,0,0,0,0,1.0,-3.0
47,M,Hispanic,Greater than 45,Low,Male,0,-1.0,1,0,0,0,0,1.0,24.0
45,F,Hispanic,Greater than 45,Low,Male,1,-1.0,3,0,0,0,0,1.0,3073.0
33,M,Caucasian,25 - 45,Low,Female,1,0.0,1,0,0,0,0,0.0,6.0
27,M,Hispanic,25 - 45,Low,Female,0,0.0,2,1,0,0,0,0.0,23.0
32,F,African-American,25 - 45,High,Male,14,-1.0,9,1,0,0,0,1.0,50.0
24,F,African-American,Less than 25,Medium,Male,2,-1.0,7,0,0,0,0,1.0,27.0
26,F,African-American,25 - 45,High,Male,5,-1.0,10,1,0,0,0,1.0,75.0
47,M,Hispanic,Greater than 45,Low,Male,0,-4.0,4,0,0,0,0,4.0,31.0
25,F,Caucasian,25 - 45,Medium,Male,1,-1.0,5,0,0,0,0,1.0,24.0
21,F,African-American,Less than 25,High,Male,1,-1.0,8,0,0,0,0,1.0,2604.0
25,M,African-American,25 - 45,Low,Male,2,-1.0,2,1,0,0,0,1.0,22.0
22,F,African-American,Less than 25,Medium,Male,6,-1.0,7,1,1,1,0,1.0,50.0
26,F,Caucasian,25 - 45,Medium,Female,0,-1.0,6,0,0,0,0,1.0,23.0
20,F,Caucasian,Less than 25,Low,Male,0,-1.0,4,0,0,0,0,1.0,31.0
30,M,African-American,25 - 45,Medium,Male,1,-1.0,5,1,0,0,0,1.0,47.0
45,F,African-American,Greater than 45,Medium,Male,0,-3.0,5,1,0,0,0,3.0,26.0
33,F,African-American,25 - 45,Medium,Male,7,0.0,7,1,0,0,0,1.0,1888.0
35,F,Caucasian,25 - 45,Low,Male,2,-1.0,1,0,0,0,0,1.0,21.0
41,F,Caucasian,25 - 45,Low,Male,5,-1.0,1,0,0,0,0,1.0,26.0
23,M,Caucasian,Less than 25,Low,Male,0,0.0,3,0,0,0,0,0.0,50.0
21,M,Caucasian,Less than 25,Medium,Female,0,-1.0,5,1,0,1,0,1.0,32.0
54,F,African-American,Greater than 45,Low,Male,0,-1.0,1,0,0,0,0,1.0,39.0
27,F,African-American,25 - 45,Medium,Male,10,-1.0,6,1,0,0,0,1.0,30.0
22,M,Caucasian,Less than 25,Low,Male,0,-4.0,3,0,0,0,0,5.0,29.0
21,M,Hispanic,Less than 25,Medium,Female,0,-1.0,7,1,0,0,0,1.0,19.0
23,F,African-American,Less than 25,Medium,Male,2,-1.0,6,1,0,0,0,1.0,145.0
30,M,Hispanic,25 - 45,Low,Male,1,-9.0,1,0,0,0,0,9.0,190.0
36,M,African-American,25 - 45,High,Male,5,-20.0,8,1,0,0,0,20.0,464.0
29,F,African-American,25 - 45,Medium,Male,10,-1.0,7,1,0,0,1,1.0,554.0
54,M,African-American,Greater than 45,Medium,Male,4,-1.0,5,1,0,0,0,1.0,1892.0
22,M,Caucasian,Less than 25,Medium,Male,2,-1.0,5,1,0,0,0,1.0,332.0
26,M,African-American,25 - 45,Low,Male,0,-1.0,4,1,0,0,0,1.0,23.0
20,F,African-American,Less than 25,Low,Female,0,-1.0,4,0,0,0,0,1.0,28.0
52,M,African-American,Greater than 45,Low,Male,6,0.0,1,1,0,0,0,0.0,40.0
29,F,African-American,25 - 45,Low,Male,0,-1.0,1,0,0,0,0,1.0,50.0
23,M,African-American,Less than 25,Medium,Female,6,-18.0,7,0,0,0,0,18.0,426.0
35,M,African-American,25 - 45,Low,Male,1,-1.0,1,0,0,0,0,1.0,220.0
32,F,Caucasian,25 - 45,High,Male,8,-4.0,9,1,0,0,0,4.0,21.0
21,M,African-American,Less than 25,Medium,Male,1,-18.0,7,1,0,0,0,18.0,23.0
25,F,Hispanic,25 - 45,Low,Male,0,-1.0,3,0,0,0,0,1.0,20.0
30,M,African-American,25 - 45,Low,Male,4,-1.0,4,1,0,0,0,1.0,27.0
30,F,African-American,25 - 45,Low,Female,3,-1.0,4,0,0,0,0,1.0,626.0
23,F,African-American,Less than 25,Medium,Male,2,-1.0,7,1,0,0,0,1.0,148.0
32,F,Caucasian,25 - 45,Low,Male,8,-2.0,4,0,1,0,0,2.0,48.0
29,F,African-American,25 - 45,High,Male,6,-1.0,10,1,0,0,0,1.0,954.0
42,M,Caucasian,25 - 45,Low,Male,0,0.0,1,0,0,0,0,0.0,5.0
21,F,African-American,Less than 25,High,Male,0,0.0,8,1,0,0,1,1.0,22.0
22,M,African-American,Less than 25,Low,Female,0,-2.0,3,0,0,0,0,2.0,13.0
45,F,Hispanic,Greater than 45,Low,Male,2,-1.0,1,0,0,0,0,1.0,1132.0
29,M,African-American,25 - 45,Low,Male,0,-1.0,2,0,0,0,0,1.0,18.0
30,F,African-American,25 - 45,Medium,Male,6,-1.0,5,1,0,0,0,1.0,70.0
51,M,African-American,Greater than 45,Low,Male,17,0.0,4,0,0,0,0,1.0,5.0
45,F,Hispanic,Greater than 45,Low,Male,20,0.0,3,1,0,0,0,0.0,54.0
24,F,Caucasian,Less than 25,Medium,Male,2,-27.0,6,0,0,0,0,27.0,0.0
23,M,African-American,Less than 25,Medium,Male,2,-1.0,7,0,0,0,0,1.0,125.0
36,F,African-American,25 - 45,Low,Male,5,-1.0,4,0,0,0,0,1.0,20.0
69,M,Hispanic,Greater than 45,Low,Male,0,-1.0,1,0,0,0,0,1.0,19.0
21,F,Hispanic,Less than 25,Medium,Male,1,-4.0,5,1,0,0,1,4.0,47.0
59,M,Hispanic,Greater than 45,Low,Male,1,-1.0,1,0,0,0,0,7604.0,14.0
39,F,African-American,25 - 45,Medium,Male,1,-9.0,6,0,0,0,0,9.0,118.0
29,F,African-American,25 - 45,Medium,Male,2,-1.0,6,0,0,0,0,1.0,907.0
22,M,Hispanic,Less than 25,Medium,Male,1,0.0,7,1,0,0,0,1.0,40.0
44,F,Caucasian,25 - 45,Low,Male,6,0.0,3,0,0,0,0,1.0,-4.0
25,F,African-American,25 - 45,Medium,Male,2,-1.0,5,0,0,0,0,1.0,1392.0
31,F,African-American,25 - 45,High,Male,0,0.0,10,0,0,0,0,0.0,5.0
35,M,African-American,25 - 45,Medium,Male,17,-1.0,7,1,0,1,0,1.0,49.0
27,M,African-American,25 - 45,High,Male,11,-1.0,10,1,0,0,0,1.0,55.0
33,F,African-American,25 - 45,Medium,Male,1,0.0,5,0,0,0,0,1.0,45.0
28,F,African-American,25 - 45,High,Male,6,-1.0,9,1,0,0,0,1.0,23.0
60,F,Caucasian,Greater than 45,Low,Male,1,-1.0,1,0,0,0,0,1.0,19.0
53,M,Hispanic,Greater than 45,Low,Male,0,0.0,1,0,0,0,0,0.0,31.0
51,F,Hispanic,Greater than 45,Low,Male,0,0.0,1,1,0,0,0,1.0,27.0
54,F,African-American,Greater than 45,Low,Female,0,-1.0,1,0,0,0,0,1.0,29.0
24,M,Caucasian,Less than 25,Low,Male,3,-1.0,4,0,1,2,0,1.0,40.0
55,F,Hispanic,Greater than 45,Low,Male,1,0.0,2,1,0,0,0,1.0,29.0
26,F,Hispanic,25 - 45,Low,Male,0,-1.0,3,0,0,0,0,1.0,56.0
75,F,African-American,Greater than 45,Low,Female,5,-1.0,1,0,0,0,0,1.0,26.0
36,F,African-American,25 - 45,Medium,Male,16,0.0,5,1,0,0,0,0.0,5.0
34,F,Other,25 - 45,Low,Male,0,-1.0,2,1,0,0,0,1.0,51.0
25,M,African-American,25 - 45,Medium,Female,5,-1.0,7,1,0,0,0,2.0,1136.0
46,F,Caucasian,Greater than 45,Low,Male,0,-1.0,1,0,0,0,0,1.0,22.0
27,F,African-American,25 - 45,Low,Male,1,0.0,2,0,0,0,0,0.0,166.0
28,M,African-American,25 - 45,Low,Male,3,0.0,3,1,0,0,0,1.0,-10.0
42,M,African-American,25 - 45,High,Male,13,-1.0,8,1,1,0,1,1.0,21.0
59,M,African-American,Greater than 45,Low,Male,2,0.0,1,0,0,0,0,1.0,5.0
39,F,Caucasian,25 - 45,Low,Male,1,-15.0,1,0,0,0,0,15.0,358.0
46,M,Caucasian,Greater than 45,Low,Male,5,-1.0,4,0,0,0,0,1.0,288.0
25,F,Other,25 - 45,Low,Male,1,-1.0,2,0,0,0,0,11.0,16.0
55,F,Caucasian,Greater than 45,Low,Male,2,-1.0,1,0,0,0,0,1.0,46.0
35,M,African-American,25 - 45,High,Male,1,-4.0,10,1,0,0,0,4.0,29.0
43,M,African-American,25 - 45,Low,Male,0,-1.0,1,1,0,0,0,1.0,27.0
53,M,Caucasian,Greater than 45,Low,Female,0,0.0,1,0,0,0,0,0.0,21.0
21,M,African-American,Less than 25,Medium,Female,0,-1.0,5,0,0,0,0,1.0,25.0
55,F,African-American,Greater than 45,High,Male,17,-1.0,10,1,0,0,0,1.0,623.0
27,F,African-American,25 - 45,Low,Male,1,-1.0,3,1,0,0,0,1.0,30.0
40,F,African-American,25 - 45,Low,Male,0,-1.0,1,0,0,0,0,1.0,55.0
37,M,Caucasian,25 - 45,Low,Female,0,-1.0,1,0,0,0,0,1.0,27.0
32,M,Caucasian,25 - 45,Low,Male,2,-1.0,2,1,0,0,0,1.0,124.0
32,M,African-American,25 - 45,Low,Male,2,-1.0,2,0,0,0,0,1.0,40.0
36,M,African-American,25 - 45,Medium,Male,4,-1.0,5,1,0,0,0,1.0,63.0
22,M,Hispanic,Less than 25,Low,Male,0,-1.0,3,0,0,0,0,1.0,16.0
31,F,African-American,25 - 45,High,Female,0,-1.0,8,0,0,0,0,1.0,49.0
26,F,African-American,25 - 45,Medium,Female,4,0.0,7,1,0,0,0,0.0,22.0
50,M,Caucasian,Greater than 45,Medium,Female,30,-1.0,6,1,0,0,0,1.0,89.0
47,F,African-American,Greater than 45,Low,Male,4,0.0,3,0,0,0,0,0.0,4.0
36,F,African-American,25 - 45,Low,Male,2,-2.0,3,0,0,0,0,2.0,24.0
38,F,Caucasian,25 - 45,Low,Female,0,-1.0,1,0,0,0,0,1.0,30.0
35,F,Other,25 - 45,Low,Male,0,-1.0,1,0,0,0,0,1.0,54.0
53,F,Caucasian,Greater than 45,Low,Male,0,-1.0,1,0,0,0,0,1.0,21.0
53,F,African-American,Greater than 45,Low,Male,2,-1.0,3,0,0,0,0,1.0,15.0
57,F,African-American,Greater than 45,Medium,Male,19,-1.0,7,0,0,0,0,1.0,2824.0
22,F,African-American,Less than 25,High,Male,5,-1.0,8,1,0,0,0,1.0,458.0
21,F,African-American,Less than 25,High,Male,0,-5.0,10,1,0,0,0,5.0,25.0
26,F,African-American,25 - 45,Low,Male,0,-1.0,3,1,0,0,0,1.0,27.0
27,F,African-American,25 - 45,Medium,Male,2,-1.0,5,0,0,0,0,1.0,502.0
49,F,Caucasian,Greater than 45,Medium,Female,4,0.0,5,0,0,0,0,1.0,89.0
47,F,Caucasian,Greater than 45,Low,Male,1,-1.0,3,1,0,0,0,1.0,20.0
30,F,African-American,25 - 45,High,Male,8,-1.0,10,1,0,0,0,1.0,41.0
44,F,Caucasian,25 - 45,Low,Male,3,0.0,1,0,0,0,0,0.0,4.0
34,F,African-American,25 - 45,Low,Male,1,-17.0,1,0,0,0,0,17.0,38.0
45,F,African-American,Greater than 45,Low,Male,10,-1.0,3,1,0,0,0,1.0,29.0
38,F,Hispanic,25 - 45,Low,Male,0,-1.0,4,0,0,0,0,1.0,26.0
50,M,Caucasian,Greater than 45,Low,Male,2,0.0,1,0,0,0,0,1.0,7.0
29,M,Caucasian,25 - 45,Medium,Male,1,0.0,6,0,0,0,0,1.0,5.0
26,F,Caucasian,25 - 45,Low,Male,0,0.0,4,0,0,0,0,0.0,4.0
22,F,African-American,Less than 25,Medium,Female,1,-1.0,6,1,0,0,0,1.0,25.0
47,M,Hispanic,Greater than 45,Low,Male,0,0.0,1,0,0,0,0,0.0,26.0
49,F,Caucasian,Greater than 45,Low,Male,0,0.0,1,0,0,0,0,0.0,5.0
49,F,African-American,Greater than 45,Low,Male,1,0.0,3,1,0,0,0,0.0,464.0
59,F,Caucasian,Greater than 45,Low,Male,2,0.0,1,0,0,0,0,0.0,306.0
32,M,Caucasian,25 - 45,Medium,Male,6,-29.0,5,0,0,0,0,30.0,668.0
24,M,African-American,Less than 25,Low,Male,1,0.0,2,1,0,0,2,1.0,-11.0
40,M,Hispanic,25 - 45,Low,Male,0,-2.0,2,0,0,0,0,3.0,30.0
32,F,African-American,25 - 45,Low,Male,0,0.0,1,0,0,0,0,1.0,-7.0
54,M,Hispanic,Greater than 45,Low,Female,0,0.0,1,0,0,0,0,0.0,4.0
27,F,African-American,25 - 45,High,Male,9,-1.0,10,1,0,0,1,0.0,19195.0
25,M,Caucasian,25 - 45,High,Male,2,0.0,8,0,0,0,0,0.0,293.0
20,M,Caucasian,Less than 25,Medium,Male,0,-1.0,5,1,0,0,0,1.0,17.0
37,M,African-American,25 - 45,High,Male,18,-1.0,9,0,2,0,0,27.0,25.0
30,F,Caucasian,25 - 45,High,Female,5,0.0,10,1,0,0,0,0.0,172.0
23,F,African-American,Less than 25,Medium,Male,1,0.0,6,1,0,0,0,0.0,23.0
20,F,African-American,Less than 25,High,Female,0,0.0,8,0,0,0,0,1.0,-4.0
50,F,Caucasian,Greater than 45,Low,Male,8,-14.0,2,0,0,0,0,14.0,284.0
50,F,African-American,Greater than 45,Low,Male,7,-1.0,2,0,0,0,0,1.0,17.0
40,F,Caucasian,25 - 45,Low,Male,3,-1.0,1,0,0,0,0,1.0,29.0
24,F,Caucasian,Less than 25,Medium,Female,2,-1.0,7,0,0,0,0,1.0,52.0
24,F,Hispanic,Less than 25,Medium,Male,0,0.0,6,1,0,0,0,0.0,20.0
23,F,African-American,Less than 25,Medium,Female,3,-1.0,5,1,0,0,0,1.0,16.0
54,M,Caucasian,Greater than 45,Low,Male,3,-1.0,1,1,0,0,0,1.0,48.0
25,M,Caucasian,25 - 45,High,Male,4,-10.0,10,0,0,0,2,4.0,27.0
46,M,Caucasian,Greater than 45,Low,Male,1,-2.0,1,0,0,0,0,2.0,46.0
25,F,Other,25 - 45,Medium,Male,1,-1.0,5,0,0,0,0,1.0,6385.0
22,M,Caucasian,Less than 25,Low,Female,0,-1.0,3,0,0,0,0,1.0,-1.0
32,F,Caucasian,25 - 45,Low,Female,1,-1.0,2,0,0,0,0,1.0,48.0
25,M,African-American,25 - 45,Low,Male,0,-1.0,3,1,0,0,0,1.0,99.0
33,F,African-American,25 - 45,High,Male,16,-2.0,9,1,0,0,0,2.0,21.0
33,M,African-American,25 - 45,Medium,Male,4,-1.0,5,1,0,0,0,1.0,41.0
24,F,African-American,Less than 25,Low,Male,0,0.0,2,0,0,0,0,1.0,-5.0
33,M,African-American,25 - 45,High,Male,12,-1.0,9,1,0,0,1,1.0,52.0
37,M,Caucasian,25 - 45,Low,Male,0,-1.0,2,0,0,0,0,2.0,22.0
40,M,Caucasian,25 - 45,Low,Female,0,0.0,1,0,0,0,0,0.0,5.0
43,F,African-American,25 - 45,Medium,Male,9,-1.0,6,1,0,0,0,1.0,23.0
35,F,African-American,25 - 45,Medium,Male,5,-1.0,6,1,0,0,0,1.0,38.0
25,F,African-American,25 - 45,High,Male,11,-1.0,9,1,0,1,0,1.0,165.0
61,F,African-American,Greater than 45,Low,Male,1,0.0,1,1,0,0,0,1.0,5.0
52,F,African-American,Greater than 45,Low,Female,1,-28.0,1,0,0,0,0,28.0,17.0
39,M,African-American,25 - 45,Low,Male,1,0.0,2,1,0,0,0,1.0,-3.0
47,F,African-American,Greater than 45,Low,Male,5,-1.0,4,0,0,0,0,0.0,23.0
52,M,Caucasian,Greater than 45,Medium,Female,6,0.0,7,0,0,0,0,1832.0,799.0
37,M,Caucasian,25 - 45,Low,Male,0,0.0,1,0,0,0,0,0.0,4.0
24,F,African-American,Less than 25,Medium,Female,0,-1.0,7,0,0,0,0,1.0,24.0
34,F,African-American,25 - 45,High,Female,14,-1.0,9,0,0,0,0,1.0,93.0
20,M,Other,Less than 25,Low,Male,0,-1.0,4,1,0,0,0,1.0,284.0
25,M,Caucasian,25 - 45,Low,Male,1,0.0,3,1,0,0,0,0.0,5.0
62,M,Caucasian,Greater than 45,Low,Female,0,0.0,1,0,0,0,0,1.0,6.0
23,F,Caucasian,Less than 25,Low,Male,0,-1.0,3,1,0,0,0,1.0,31.0
60,F,Caucasian,Greater than 45,Medium,Female,0,0.0,7,0,0,0,0,0.0,319.0
35,M,Caucasian,25 - 45,Low,Male,0,-1.0,1,0,0,0,0,1.0,24.0
24,F,African-American,Less than 25,Medium,Female,0,-1.0,7,0,0,0,0,1.0,19.0
30,M,Caucasian,25 - 45,Low,Male,0,0.0,1,0,0,0,0,0.0,-4.0
35,F,Caucasian,25 - 45,Medium,Male,4,-1.0,5,1,0,0,0,1.0,26.0
28,M,Caucasian,25 - 45,Low,Female,0,-1.0,4,0,0,0,0,1.0,5.0
56,F,African-American,Greater than 45,Low,Male,0,-1.0,1,0,0,0,0,2.0,35.0
23,F,African-American,Less than 25,Low,Male,2,-1.0,2,1,0,0,0,1.0,27.0
20,F,Hispanic,Less than 25,Low,Male,0,-1.0,3,1,0,0,0,1.0,21.0
23,M,Caucasian,Less than 25,Low,Male,1,-1.0,2,0,0,1,0,1.0,22.0
21,F,African-American,Less than 25,High,Male,0,0.0,9,1,0,0,0,0.0,43.0
35,F,African-American,25 - 45,Medium,Female,2,-1.0,5,0,0,0,0,1.0,339.0
33,M,Caucasian,25 - 45,Low,Male,3,0.0,3,0,0,0,0,0.0,4.0
21,F,Hispanic,Less than 25,Low,Male,0,-1.0,4,0,0,0,0,1.0,100.0
41,M,African-American,25 - 45,High,Male,9,-1.0,9,0,2,1,0,1.0,23.0
24,F,African-American,Less than 25,Medium,Male,0,-1.0,5,0,0,0,0,1.0,96.0
20,F,Hispanic,Less than 25,High,Male,2,9.0,10,1,0,0,0,33.0,4615.0
28,F,African-American,25 - 45,High,Male,9,-1.0,8,1,0,0,0,1.0,28.0
25,F,Native American,25 - 45,High,Male,7,0.0,9,0,0,0,0,0.0,19.0
49,F,African-American,Greater than 45,Low,Male,3,0.0,2,0,0,0,0,0.0,25.0
22,F,Hispanic,Less than 25,Medium,Female,0,0.0,6,0,0,0,0,1.0,5.0
21,F,African-American,Less than 25,Low,Male,0,-1.0,3,1,0,0,0,1.0,45.0
27,F,African-American,25 - 45,High,Female,3,-1.0,9,1,0,0,0,1.0,73.0
50,M,African-American,Greater than 45,Medium,Male,4,-3.0,5,0,0,0,0,3.0,49.0
